kanjireading,rank,weight
魔[ま],224,698.656660944827
校[こう],225,702.263458634681
半[はん],226,702.678689550554
礼[れい],227,705.491225650133
言[こと],228,706.252669504612
教[きょう],229,713.132766608343
念[ねん],230,716.152037286039
話[はな],231,716.931214337191
後[あと],232,717.516076868814
作[つく],233,721.517103155079
想[そう],234,729.998046995937
車[しゃ],235,731.146070104422
発[はっ],236,731.178233604488
始[はじ],237,731.306963194246
絶[ぜっ],238,733.365628036378
身[しん],239,733.598090752088
義[ぎ],240,734.518782467894
正[せい],241,736.892219672391
記[き],242,737.221138099545
元[もと],243,737.410864833178
長[なが],244,737.648334251183
葉[ば],245,740.650018359385
活[かつ],246,741.167235671130
予[よ],247,742.452267562123
運[うん],248,743.031801747065
制[せい],249,752.884560067011
開[かい],250,753.105555572712
近[ちか],251,753.149146665365
経[けい],252,755.040930075648
断[だん],253,756.419954183479
役[やく],254,758.917177445600
頭[あたま],255,766.272953782528
作[さく],256,768.592596391825
水[みず],257,771.661121149555
通[とお],258,771.768969156316
器[き],259,772.779173569113
転[てん],260,774.593408688425
放[ほう],261,776.019965014038
強[きょう],262,776.463108935665
振[ふ],263,777.380466669637
真[しん],264,781.962763774748
寄[よ],265,782.715321420348
動[うご],266,783.036638697554
室[しつ],267,783.537387576612
逃[に],268,783.738636340856
約[やく],269,785.172955324026
神[しん],270,785.965836651615
悪[あく],271,786.712050004701
確[かく],272,790.680077253729
発[はつ],273,797.051788280571
空[くう],274,798.483148786874
合[あい],275,799.023781871188
十[じゅう],276,801.084604055298
追[お],277,801.246022741762
力[ちから],278,803.755257238315
道[みち],279,804.120822051272
在[ざい],280,804.525468839981
実[じっ],281,804.734166741513
無[な],282,805.546954309649
係[けい],283,807.606201626125
僕[ぼく],284,810.460284924678
差[さ],285,811.515718984847
食[た],286,813.550681471918
間[げん],287,814.536191816782
楽[たの],288,814.878344875663
高[たか],289,816.947430301876
語[ご],290,820.943231380570
助[たす],291,822.011058034505
地[じ],292,824.283284732787
平[へい],293,825.267605889841
格[かく],294,825.917176978111
態[たい],295,826.057318326131
利[り],296,826.308798224005
公[こう],297,826.350769033373
計[けい],298,834.563177522786
親[おや],299,837.133390785637
可[か],300,837.426405958163
笑[わら],301,838.270344895371
相[そう],302,838.773665591889
有[ゆう],303,838.978225574057
文[ぶん],304,841.240725121625
